firms
VITERRA ITALY S.R.L.
COOPERATIVA CERAMICA D'IMOLA SOCIETA' COOPERATIVA IN BREVE COOPERATIVA CERAMICA D'IMOLA S.C.
INFRATECH CONSORZIO STABILE - S.C. A R.L. - IN FORMA ABBREVIATA INFRATECH SCARL
BULGARI ITALIA S.P.A.
G.A.I.A. HOLDING S.R.L.
FERRARONI S.P.A.
HOLDING 1946 S.R.L.
3C S.P.A.
MED GROUP S.R.L.
PERNOD RICARD ITALIA S.P.A. O, PIU' BREVEMENTE, PRI S.P.A. NONCHE' PR ITALIA S.P.A.
ARES HOLDCO S.P.A.
BLU HOLDING S.R.L.
MICHAEL KORS ITALY S.R.L. CON SOCIO UNICO
AMBER S.R.L.
BANCA DI CREDITO POPOLARE SCRL
MEGRANI S.R.L.
PROGEST S.R.L.
A.F.E. - ASSOCIAZIONE FRUTTICOLTORI ESTENSE SOC. COOP. AGRICOLA
L'ABBONDANZA S.R.L.
ESA ENERGIE S.P.A. SOCIETA' BENEFIT
UBI S.R.L.
CANTINA SOCIALE COOPERATIVA DI SOAVE - SOCIETA' AGRICOLA COOPERATIVA, PER BREVITA' CANTINA SOCIALE DI SOAVE O CANTINA DI SOAVE O CADIS 1898 O MAXIMILIAN I O ROCCA SVEVA O EQUIPE5 O LE CENGE O VILLA R
OLEIFICIO SPERONI SOCIETA' A RESPONSABILITA' LIMITATA ENUNCIABILE ANCHE OLEIFICIO SPERONI S.R.L.
S.P.A.M.I. S.R.L.
FA.TA. RICAMBI - SOCIETA' PER AZIONI
SOLA GRAZIA SRL
ATENA HOLDING S.R.L.
TIBERINA HOLDING S.R.L.
G.S.G.R. S.R.L.
WORLD FUEL SERVICES ITALY S.R.L.
PLANESYS S.P.A.
ENI PLENITUDE S.P.A. SOCIETA' BENEFIT
ENI REWIND S.P.A.
S.A.P. NA. SISTEMA AMBIENTE PROVINCIA DI NAPOLI S.P.A.
SNOP AUTOMOTIVE ITALY S.R.L.
BIANCHI ORIZZONTI S.R.L.
BO GROUP S.R.L.
MULTIGIOCO S.R.L.
BANCA WIDIBA S.P.A.
CAMPOROSSO S.R.L.
CONSORZIO FRA COOPERATIVE DI PRODUZIONE E LAVORO - CONS.COOP.- S OCIETA' COOPERATIVA IN SIGLA CONSCOOP
M.G.A. SRL
MICHELE GRIECO HOLDING S.R.L.
GUALA & C. - S.P.A.
SWAROVSKI INTERNAZIONALE D'ITALIA S.R.L.
SOCIETA' GENERALE DELLE ACQUE MINERALI SPA
PETROL COMPANY S.R.L.
MISTRAL TOUR INTERNAZIONALE S.R.L.
IMMVEC SOCIETA' A RESPONSABILITA' LIMITATA
COOPERLAT SOCIETA' COOPERATIVA AGRICOLA OVVERO COOPERLAT SOC. COOP. AGRICOLA OVVERO TRE VALLI SOC. COOP. AGRICOLA
LATTEBUSCHE - LATTERIA DELLA VALLATA FELTRINA - SOCIETA' COOPERAT IVA AGRICOLA - CON SIGLA LATTEBUSCHE S.C.A.
MIMOSA HOLDING S.R.L.
TERMINALE GNL ADRIATICO SOCIETA' A RESPONSABILITA' LIMITATA IN FORMA ABBREVIATA TERMINALE GNL ADRIATICO S.R.L.
GILFIN SOCIETA' A RESPONSABILITA' LIMITATA
PALFIN DI PAOLO BENETTOLO & C. SOCIETA' IN ACCOMANDITA PER AZIONI
BIDACHEM S.P.A.
RITRAMA S.P.A.
ALLIED INTERNATIONAL S.R.L.
DHL EXPRESS (ITALY) S.R.L.
MIPIEN S.P.A.
B PETROL SRL
ELISA S.R.L.
ORCHIDEA FRUTTA S.R.L.
F2I LIGANTIA S.P.A.
AZIENDA NAPOLETANA MOBILITA' S.P.A. IN SIGLA ANM S.P.A.
P.B.H. S.R.L.
SANTACROCE GIOVANNI S.P.A.
VIGNAIOLI VENETO FRIULANI SOCIETA' AGRICOLA COOPERATIVA IN SIGLA: VIGNAIOLI VENETO FRIULANI S.C.A.
SILLIKER ITALIA HOLDING S.R.L.
IKEA ITALIA DISTRIBUTION S.R.L.
MARECHIARO S.R.L.
L'OREAL ITALIA S.P.A.
ABENERGIE S.P.A. O A.B. ENERGIE S.P.A.
ACCIAIERIE D'ITALIA HOLDING S.P.A.
ADK MARTENK S.P.A.
ADVANCED ACCELERATOR APPLICATIONS (ITALY) - S.R.L.
AZIENDA SERVIZI SOCIALI DI BOLZANO
CONSORZIO ARMATORI FERROVIARI S.C.P.A. - CONSORZIO STABILE
CONSORZIO IRICAV DUE
COSTRUZIONI EURO 2002 S.R.L.
E GROUP S.P.A.
GREEN NETWORK S.P.A.
HOTELTURIST S.P.A.
ISTITUTO NEUROTRAUMATOLOGICO ITALIANO S.P.A.
L'AUTOPROPANGAS DI GRASSO SEBASTIANO
MCDONALD'S DEVELOPMENT ITALY LLC
MERIDIONALE PETROLI S.R.L.
MGP - SOCIETA' A RESPONSABILITA' LIMITATA
MODES S.P.A.
NOVA S.P.A.
RIF LINE ITALY - S.P.A.
SANT'ELIA - S.R.L.
STRANO HOLDING S.R.L.
TRAFORO DEL MONTE BIANCO - GEIE
SICOR SOCIETA' ITALIANA CORTICOSTEROIDI S.R.L. ABBREVIATA IN SIC OR S.R.L.
BAYWA R.E. ENERGY TRADING S.R.L.
IVI PETROLIFERA S.P.A.
SOCIETA' COOPERATIVA BRACCIANTI RIMINESE
FONDACO S.R.L.
S.A.C. - SOCIETA' APPALTI COSTRUZIONI - SOCIETA' PER AZIONI
NUOVO PIGNONE S.R.L.
NUOVO PIGNONE TECNOLOGIE - S.R.L.
PN8086 SRL
REPAS LUNCH COUPON SOCIETA' A RESPONSABILITA' LIMITATA - RISTORAZIONE E SERVIZI PER LE AZIENDE - IN FORMA ABBREVIATA REPAS LUNCH COUPON S.R.L.
HAUPT PHARMA LATINA S.R.L.
NOVECENTOSETTE HOLDING FINANZIARIA SRL
BAT S.P.A.
APPLE RETAIL ITALIA S.R.L.
SORRENTO REAL ESTATE S.R.L.
B.H. S.R.L.
SICAM SOCIETA' ITALIANA COMMERCIO ACCIAI E METALLI S.P.A.
T.ERRE S.R.L.
SAIT CONSORZIO DELLE COOPERATIVE DI CONSUMO TRENTINE SOCIETA' COOPERATIVA
LAZIO EVENTS S.R.L.
UNIFARM S.P.A. UNIONE FARMACISTI TRENTINO-ALTO ADIGE
CODRAFIN SRL
PEWEX - AL.PA. - SOCIETA' A RESPONSABILITA' LIMITATA
LA FONTE S.P.A.
FREE LUCE&GAS S.P.A.
E-WORK HOLDING S.R.L.
OFFICINE FOCCHI S.R.L.
MOTORI MINARELLI S.P.A.
ALEGRA SOCIETA' COOPERATIVA AGRICOLA
SOFID S.P.A.
FINTRADE HOLDING S.P.A.
IDRO TRADE SOCIETA' PER AZIONI
UN.I.CO.M. S.P.A.
PROCTER & GAMBLE HOLDING S.R.L.
OLD MILL HOLDING S.P.A.
L HOLDING S.R.L.
TETRA PAK ITALIANA S.P.A.
MIS HOLDING SRL
KEDRION HOLDING S.P.A.
MV HOLDING S.R.L.
SAVINO DEL BENE TRASPORTI INTERNAZIONALI AGENZIA MARITTIMA S.P.A.
AGORA' NETWORK SOCIETA' CONSORTILE A R.L.
TPB SCARL
ORSI MAZZUCCHELLI S.P.A.
AZIENDA VENEZIANA DELLA MOBILITA' S.P.A.
DEMETRA SOCIETA' PER AZIONI
SIRTI ALLIANCE FOR INFRASTRUCTURES S.C.A R.L. IN BREVE SOLO S.A.I. S.C. A R.L.
D ANIMAL HEALTH S.R.L.
TETRA PAK PACKAGING SOLUTIONS S.P.A.
MANUFACTURES DIOR S.R.L.
HBC S.P.A.
COOPERATIVA SOCIALE NUOVA SAIR O IN FORMA ABBREVIATA COOP. SOC . NUOVA SAIR
NOVA AEG S.P.A
BONOMELLI - S.R.L.
SUNPOWER ITALIA S.R.L.
S.T.A.V. SERVIZI TRASPORTI AUTOMOBILISTICI-SOCIETA' PER AZIONI
SIRON SRL
GALLINA HOLDING S.R.L.
FRUTTAGEL SOCIETA' COOPERATIVA AGRICOLA PER AZIONI IN SIGLA FRUTT AGEL S.C.P.A.
